Dive Number,GF Minimum,GF Maximum,Surface Interval (min),Imperial Units,Start Battery Voltage,Start CNS %,Start Date,Start External O2 Sensor Status,Start Low Set Point,Start High Set Point,Computer Firmware Version,Max Depth,Max Time,Error History,End Battery Voltage,End CNS,End Date,End External O2 Sensor Status,End Low Set Point,End High Set Point,Computer Serial Number,Computer Firmware Version,Computer Model,Log Version,Deco Model,VPM-B Conservatism,Start Surface Pressure,End Surface Pressure,Product
1,40,85,65535,True,4.1,0,11/4/2023 9:20:53 AM,False,0,1,86,37.8,2844,,4.1,0,11/4/2023 10:08:12 AM,False,0,1,984FCD68,86,2,13,GF,40/85,1014,1014,Peregrine
2,40,85,64,True,4.1,0,11/4/2023 11:11:43 AM,False,0,1,86,37.6,2748,,4.1,0,11/4/2023 11:57:26 AM,False,0,1,984FCD68,86,2,13,GF,40/85,1012,1012,Peregrine
3,40,85,10003,True,4.1,0,11/11/2023 10:39:31 AM,False,0,1,86,10.5,190,,4.1,0,11/11/2023 10:42:36 AM,False,0,1,984FCD68,86,2,13,GF,40/85,1016,1016,Peregrine
4,40,85,6,True,4.1,0,11/11/2023 10:48:29 AM,False,0,1,86,9.7,60,,4.1,0,11/11/2023 10:49:24 AM,False,0,1,984FCD68,86,2,13,GF,40/85,1016,1016,Peregrine
5,40,85,65535,True,4,0,2/10/2024 11:35:28 AM,False,0,1,86,56.6,3046,,4,3,2/10/2024 12:26:09 PM,False,0,1,984FCD68,86,2,13,GF,40/85,1016,1016,Peregrine
6,40,85,41984,True,4,0,3/10/2024 4:08:57 PM,False,0,1,86,6.5,7,,4,0,3/10/2024 4:08:59 PM,False,0,1,984FCD68,86,2,13,GF,40/85,1014,1014,Peregrine
7,40,85,2,True,4,0,3/10/2024 4:10:22 PM,False,0,1,86,9.900001,89,,4,0,3/10/2024 4:11:46 PM,False,0,1,984FCD68,86,2,13,GF,40/85,1014,1014,Peregrine
8,40,85,2,True,4,0,3/10/2024 4:13:02 PM,False,0,1,86,10.1,19,,4,0,3/10/2024 4:13:16 PM,False,0,1,984FCD68,86,2,13,GF,40/85,1014,1014,Peregrine
9,40,85,2,True,4,0,3/10/2024 4:14:51 PM,False,0,1,86,15.6,94,,4,0,3/10/2024 4:16:20 PM,False,0,1,984FCD68,86,2,13,GF,40/85,1014,1014,Peregrine
10,40,85,2,True,4,0,3/10/2024 4:17:53 PM,False,0,1,86,10.1,13,,4,0,3/10/2024 4:18:01 PM,False,0,1,984FCD68,86,2,13,GF,40/85,1014,1014,Peregrine
